tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,Line_origin,Line_prediction
"0x0018","0.012934481","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e383339383030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011331532","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33322e313038393036",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.009161297","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313937",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.025452092","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32352e383530313633",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.006873668","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e313632383030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.012878545","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313336",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.000150102","1436",,,,,,,,,,,,,"0","0x69",,"111","iot/move","302e373031343030","29743","6",,,"0","0",,,,,,,,legitimate,dos
"0x0018","0.009428950","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32352e353437393230",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.017964212","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3239",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.000252393","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.097161236","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e313933343030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.615255991","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.120498823","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33322e343334363335",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.007052989","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","323137",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011022316","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e313636313030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.007235538","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313630",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.021753230","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31382e353238373937",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.010465552","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e323639353030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.010942057","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3838",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.008886925","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32392e353836343337",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.944133108","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","2.960927529","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31362e393730343937",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.005721286","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.006946375","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3333",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.013133645","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e313533363030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.007842459","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313939",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.407027018","469",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313539",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.010524353","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e363337363030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.035147706","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32362e323133353936",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.011866890","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3938",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011941159","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31382e353631393531",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.979451333","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","2.958713390","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32352e333638393532",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.005430769","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.008565471","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3638",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.008596460","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e343531313030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.021083707","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31362e383830363139",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.015698303","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3232",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.008301203","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313633",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011528560","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32302e323238353237",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.005601183","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e373931343030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.080123158","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33312e353534313139",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","1.018239932","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.000114998","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.013634317","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","323233",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011380281","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31362e393034333739",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.006572317","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3436",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.006209822","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e353032353030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.006391226","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313336",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011750120","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33342e313830303936",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.006937573","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e323130333030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.007492098","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","323238",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.013717024","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313932",,"3",,,"0","0",,,,,,,,legitimate,legitimate
