sample,wall_time_s,cpu_time_s,cpu_percent,ram_change_mb,pred_idx
286,2.3584999780723592e-05,2.3704999999818455e-05,100.50879889849709,0.0,2
287,2.3024000256555155e-05,2.3093999999890258e-05,100.30402945863055,0.0,3
288,2.7423000119597418e-05,2.752100000025237e-05,100.35736381952213,0.0,3
289,2.3646000045118853e-05,2.3704999999818455e-05,100.2495134677621,0.0,1
290,2.349499982301495e-05,2.3533999999880706e-05,100.16599351844877,0.0,1
291,2.346500014027697e-05,2.3575000000164437e-05,100.46878269435275,0.0,3
292,2.3224999949889025e-05,2.329400000000703e-05,100.29709386551941,0.0,3
293,2.343500000279164e-05,2.3474000000245354e-05,100.16641774034167,0.0,0
294,2.343500000279164e-05,2.348400000018458e-05,100.20908895834053,0.0,3
295,2.3365000288322335e-05,2.3454000000366904e-05,100.38091038282182,0.0,1
296,2.329500011910568e-05,2.3354000000086472e-05,100.25327272238304,0.0,3
297,2.326499998162035e-05,2.3383999999904148e-05,100.51149803729986,0.0,1
298,2.315400024599512e-05,2.323399999992759e-05,100.34551158798708,0.0,3
299,2.35749998864776e-05,2.3654000000039588e-05,100.33510122563057,0.0,2
300,3.579800022635027e-05,3.594699999975859e-05,100.41622373447174,0.0,3
301,2.4186999780795304e-05,2.4245999999727985e-05,100.24393359849255,0.0,2
302,2.7412999770604074e-05,2.7490999999990606e-05,100.28453737292251,0.0,1
303,2.346500014027697e-05,2.3514999999640906e-05,100.21308271495857,0.0,0
304,2.6741000056063058e-05,2.6870000000123184e-05,100.48240508503675,0.0,1
305,2.349499982301495e-05,2.3554000000203246e-05,100.25111801503613,0.0,0
306,2.3625999801879516e-05,2.3663999999978813e-05,100.16084059264352,0.0,1
307,2.337500018256833e-05,2.346400000030613e-05,100.38074788039648,0.0,0
308,2.332499980184366e-05,2.342399999966105e-05,100.42443815073285,0.0,1
309,2.3273999886441743e-05,2.3283999999623717e-05,100.04296688678681,0.0,3
